"Flume","Treatment","Order","Family","Type","Sample_Group","Plate_ID","Plate_Position","Sample_ID","Weight_mg","d15N","perc_N","d13C","perc_C","C_N","Concd15N","Concd13C"
"Flume 9","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","C1","F9EPH2",1.0217,7.29475,10.6170923625493,-28.066875,42.2265458200995,3.97722317732199,0.106170923625493,0.422265458200995
"Flume 9","ALAN","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","C2","F9EPH1",0.8435,7.30871428571429,10.4029967065655,-27.1002857142857,39.7215705295715,3.81828156347511,0.104029967065655,0.397215705295715
"Flume 9","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","C3","F9CH3",0.096,5.05771428571429,8.56477156946352,-26.6112857142857,39.756029954,4.64180855631276,0.0856477156946352,0.39756029954
"Flume 9","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","C4","F9CH2",0.5693,6.66571428571429,10.3975076360814,-25.9082857142857,41.4418529361763,3.9857487377422,0.103975076360814,0.414418529361763
"Flume 9","ALAN","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","C5","F9CH1",0.9805,7.72271428571429,8.33645483792814,-26.9042857142857,38.1355492230366,4.57455236841592,0.0833645483792814,0.381355492230366
"Flume 9","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","C6","F9G3",1.0736,7.56771428571429,6.87474552470403,-25.9862857142857,32.1804728486128,4.68096931486031,0.0687474552470403,0.321804728486128
"Flume 9","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","C7","F9G2",1.0282,7.06771428571429,6.07448584910756,-26.1982857142857,31.760107928478,5.22844380864664,0.0607448584910756,0.31760107928478
"Flume 9","ALAN","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","C8","F9G1",0.942,8.03071428571429,6.63856096789565,-26.4292857142857,34.7700765399621,5.2375924101792,0.0663856096789565,0.347700765399621
"Flume 1","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","C9","F1G1",1.1029,7.44571428571429,7.00459138090957,-26.2532857142857,34.5419196979277,4.93132544348965,0.0700459138090957,0.345419196979277
"Flume 1","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","C10","F1G2",1.1298,8.53071428571429,7.30275100431436,-26.6452857142857,33.9823968607916,4.65336923588321,0.0730275100431436,0.339823968607916
"Flume 1","ALAN + Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","C11","F1G3",1.1077,8.57471428571429,7.48334796277403,-26.8532857142857,34.5266566965335,4.61379811125803,0.0748334796277403,0.345266566965335
"Flume 1","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","C12","F1CH1",0.3567,7.67671428571429,8.00424010885696,-26.0692857142857,39.820377345695,4.97491039800673,0.0800424010885696,0.39820377345695
"Flume 1","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","D1","F1CH2",0.027,6.43871428571429,6.47732417593195,-26.4652857142857,39.977594745564,6.171930516325,0.0647732417593195,0.39977594745564
"Flume 1","ALAN + Crayfish","Diptera","Chironomidae","Prey","Benthic","IRMS_RSM_02","D2","F1CH3",0.8106,7.44671428571429,8.15477659147828,-26.3182857142857,38.0878301835231,4.67061601949032,0.0815477659147828,0.380878301835231
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D3","F1EPH1",0.7647,8.30971428571429,9.85871874077604,-27.5972857142857,43.1932274066731,4.38122118526662,0.0985871874077604,0.431932274066731
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D4","F1EPH2",0.5286,7.50571428571429,9.5983806586519,-27.9832857142857,42.4531139688651,4.42294544034344,0.095983806586519,0.424531139688651
"Flume 1","ALAN + Crayfish","Ephemeroptera","Ephemeroptera","Prey","Benthic","IRMS_RSM_02","D5","F1EPH3",0.7088,7.37271428571429,10.3057870548446,-29.7222857142857,41.8079059797215,4.05674071831983,0.103057870548446,0.418079059797215
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","D6","F2G1",0.751,7.43771428571429,6.52963994002233,-26.3692857142857,33.0716038570703,5.06484341569334,0.0652963994002233,0.330716038570703
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","D7","F2G2",0.8806,6.87271428571429,6.291011824026,-25.2642857142857,30.5133400103981,4.85030721033851,0.06291011824026,0.305133400103981
"Flume 2","Crayfish","Amphipoda","Gammaridae","Prey","Benthic","IRMS_RSM_02","D8","F2G3",0.9754,7.08771428571429,6.6782548441778,-25.3742857142857,31.8484089376327,4.76897178690308,0.066782548441778,0.318484089376327
